title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Bloomington,IN,47401,"$359,900","4 bds, 4.0 ba ,3059 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/2220-S-Olde-Mill-Ct-Bloomington-IN-47401/102881072_zpid/
House for sale,,Bloomington,IN,47401,"$549,900","4 bds, 3.0 ba ,3084 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/1009-S-Greenwood-Ave-Bloomington-IN-47401/85583219_zpid/
For sale by owner,,Bloomington,IN,47401,"$296,000","4 bds, 2.0 ba ,1852 sqft",,https://www.zillow.com/homedetails/2209-S-High-St-Bloomington-IN-47401/102879198_zpid/
House for sale,,Bloomington,IN,47401,"$409,900","3 bds, 3.0 ba ,2250 sqft",Millican Realty,https://www.zillow.com/homedetails/4126-S-Derby-Dr-Bloomington-IN-47401/85579954_zpid/
House for sale,,Bloomington,IN,47401,"$995,000","6 bds, 7.0 ba ,9191 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2915-S-Olcott-Blvd-Bloomington-IN-47401/94520877_zpid/
Condo for sale,,Bloomington,IN,47401,"$269,500","4 bds, 3.0 ba ,2242 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/926-S-Baldwin-Dr-Bloomington-IN-47401/102874729_zpid/
Foreclosure,,Bloomington,IN,47401,"$114,900","2 bds, 2.0 ba ,987 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/9442-S-Lake-Ridge-Dr-119-Bloomington-IN-47401/2079703084_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47401,,"6 bds, 2.0 ba ,1924 sqft",,https://www.zillow.com/homedetails/1301-S-Stull-Ave-Bloomington-IN-47401/85587099_zpid/
House for sale,,Bloomington,IN,47401,"$390,000","4 bds, 3.0 ba ,2686 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/2300-E-Autumn-Dr-Bloomington-IN-47401/102879233_zpid/
Auction,,Bloomington,IN,47401,$1,"2 bds, 2.0 ba ,1548 sqft",United Country Coffey Realty & Auction,https://www.zillow.com/homedetails/7237-S-Whippoorwill-Ln-Bloomington-IN-47401/85592657_zpid/
Lot / Land for sale,,Bloomington,IN,47401,"$155,900","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/2811-E-Geneva-Cir-1-Bloomington-IN-47401/2079724456_zpid/
Lot / Land for sale,,Bloomington,IN,47401,"$155,900","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/2826-E-Geneva-Cir-4-Bloomington-IN-47401/2079724455_zpid/
House for sale,,Bloomington,IN,47401,"$315,000","3 bds, 3.0 ba ,2784 sqft",Valu-net Realty,https://www.zillow.com/homedetails/3649-E-3rd-St-Bloomington-IN-47401/85576914_zpid/
Townhouse for sale,,Bloomington,IN,47401,"$159,900","3 bds, 2.0 ba ,1200 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/3101-S-Piccadilly-St-Bloomington-IN-47401/102874501_zpid/
House for sale,,Bloomington,IN,47401,"$235,000","3 bds, 2.0 ba ,1534 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/3531-Wellington-Dr-Bloomington-IN-47401/85584715_zpid/
House for sale,,Bloomington,IN,47401,"$419,000","4 bds, 3.0 ba ,2454 sqft",Griffin Realty Holdings LLC,https://www.zillow.com/homedetails/2620-E-Rock-Creek-Dr-Bloomington-IN-47401/85586123_zpid/
New construction,,Bloomington,IN,47401,"$628,900","4 bds, 3.0 ba ,3192 sqft",Flying Fish Real Estate,https://www.zillow.com/homedetails/1020-E-Maxwell-Ln-Bloomington-IN-47401/102880490_zpid/
Condo for sale,,Bloomington,IN,47401,"$119,900","1 bds, 2.0 ba ,1225 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/9311-S-Pointe-Lasalles-Dr-6-Bloomington-IN-47401/2079763036_zpid/
House for sale,,Bloomington,IN,47401,"$799,000","5 bds, 3.0 ba ,4209 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/705-S-Deer-Trce-Bloomington-IN-47401/211062021_zpid/
Condo for sale,,Bloomington,IN,47401,"$189,900","2 bds, 2.0 ba ,900 sqft",Eagle Pointe Realty Corp,https://www.zillow.com/homedetails/1914-E-Waters-Edge-Dr-66-Bloomington-IN-47401/2079768946_zpid/
House for sale,,Bloomington,IN,47401,"$339,900","4 bds, 3.0 ba ,2339 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/1210-S-Park-Ave-Bloomington-IN-47401/85587064_zpid/
House for sale,,Bloomington,IN,47401,"$549,900","4 bds, 3.0 ba ,3620 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/1503-S-Andrew-Cir-Bloomington-IN-47401/211070274_zpid/
House for sale,,Bloomington,IN,47401,"$589,000","4 bds, 4.0 ba ,4722 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/1520-S-Andrew-Cir-Bloomington-IN-47401/94520077_zpid/
For sale by owner,,Bloomington,IN,47401,"$76,500","None bds, None ba ,None sqft",,https://www.zillow.com/homedetails/8307-S-Anne-Ave-Bloomington-IN-47401/2079838319_zpid/
House for sale,,Bloomington,IN,47401,"$329,900","4 bds, 3.0 ba ,2286 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/2697-E-Rock-Creek-Dr-Bloomington-IN-47401/85586384_zpid/
For sale by owner,,Bloomington,IN,47401,"$75,000","None bds, None ba ,None sqft",,https://www.zillow.com/homedetails/1536-S-Coleman-Ct-Bloomington-IN-47401/211070293_zpid/
Lot / Land for sale,,Bloomington,IN,47401,"$250,000","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/601-603-E-Miller-Dr-607-Bloomington-IN-47401/2079927654_zpid/
For sale by owner,,Bloomington,IN,47401,"$540,000","4 bds, 4.0 ba ,3168 sqft",,https://www.zillow.com/homedetails/2610-S-Trotters-Run-Bloomington-IN-47401/94519554_zpid/
