title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,Bloomington,IN,47401,"$135,000","2 bds, 2.0 ba ,1232 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/3856-S-Laurel-Ct-Bloomington-IN-47401/102879570_zpid/
House for sale,,Bloomington,IN,47401,"$630,000","5 bds, 5.0 ba ,3558 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/1480-E-Southdowns-Dr-Bloomington-IN-47401/85587842_zpid/
House for sale,,Bloomington,IN,47401,"$324,900","3 bds, 2.0 ba ,2166 sqft",Evergreen Real Estate & Auctions,https://www.zillow.com/homedetails/4049-E-Bennington-Blvd-Bloomington-IN-47401/102878886_zpid/
House for sale,,Bloomington,IN,47401,"$349,500","4 bds, 2.0 ba ,2670 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/9430-E-Conard-Dr-Bloomington-IN-47401/85591189_zpid/
For sale by owner,,Bloomington,IN,47401,"$239,000","3 bds, 3.0 ba ,1603 sqft",,https://www.zillow.com/homedetails/1993-E-Dutcherman-Dr-Bloomington-IN-47401/85579246_zpid/
Condo for sale,,Bloomington,IN,47401,"$315,000","4 bds, 3.0 ba ,2235 sqft","Signature Realty Services, LLC",https://www.zillow.com/homedetails/997-S-Baldwin-Dr-Bloomington-IN-47401/85587758_zpid/
House for sale,,Bloomington,IN,47401,"$195,000","3 bds, 2.0 ba ,1800 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/1870-E-Dutcherman-Dr-Bloomington-IN-47401/85580744_zpid/
Condo for sale,,Bloomington,IN,47401,"$143,000","2 bds, 2.0 ba ,880 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/1296-S-College-Mall-Rd-Bloomington-IN-47401/102873650_zpid/
Lot / Land for sale,,Bloomington,IN,47401,"$125,000","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/LOT-8A-E-Pedigo-Bay-Dr-Bloomington-IN-47401/2079609005_zpid/
Lot / Land for sale,,Bloomington,IN,47401,"$179,000","None bds, None ba ,None sqft","Carpenter Realtors, Inc.",https://www.zillow.com/homedetails/2016-Hanson-Cemetery-Rd-A-Bloomington-IN-47401/2079610022_zpid/
House for sale,,Bloomington,IN,47401,"$614,900","5 bds, 5.0 ba ,4170 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/3909-E-Bennington-Blvd-Bloomington-IN-47401/102878901_zpid/
House for sale,,Bloomington,IN,47401,"$455,000","3 bds, 3.0 ba ,2525 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/1323-E-University-St-Bloomington-IN-47401/102880150_zpid/
