title,address,city,state,postal_code,price,facts and features,real estate provider,url
New construction,,Bloomington,IN,47404,"$359,500","4 bds, 3.0 ba ,2484 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/4133-W-Geranium-Ln-Bloomington-IN-47404/211053159_zpid/
House for sale,,Bloomington,IN,47404,"$289,900","4 bds, 3.0 ba ,2978 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/6251-W-State-Road-48-Bloomington-IN-47404/85590578_zpid/
Lot / Land for sale,,Bloomington,IN,47404,"$45,000","None bds, None ba ,None sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/4190-N-Deer-Park-Dr-Bloomington-IN-47404/85597078_zpid/
Condo for sale,,Bloomington,IN,47404,"$169,900","4 bds, 3.0 ba ,1848 sqft",Millican Realty,https://www.zillow.com/homedetails/2930-W-Winterberry-Ct-Bloomington-IN-47404/85576033_zpid/
House for sale,,Bloomington,IN,47404,"$245,000","4 bds, 3.0 ba ,2518 sqft","Carpenter Realtors, Inc.",https://www.zillow.com/homedetails/4968-N-White-River-Dr-Bloomington-IN-47404/102875804_zpid/
Lot / Land for sale,,Bloomington,IN,47404,"$60,000","None bds, None ba ,None sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/0-W-6th-St-Bloomington-IN-47404/2080141752_zpid/
Condo for sale,,Bloomington,IN,47404,"$459,000","2 bds, 3.0 ba ,1233 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/304-308-W-Kirkwood-Ave-Bloomington-IN-47404/2080223982_zpid/
House for sale,,Bloomington,IN,47404,"$265,000","3 bds, 2.0 ba ,1506 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/5262-N-Teresa-Ln-Bloomington-IN-47404/2099513066_zpid/
House for sale,,Bloomington,IN,47404,"$319,000","4 bds, 3.0 ba ,2781 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/3938-W-Nimita-Ct-Bloomington-IN-47404/2080223953_zpid/
House for sale,,Bloomington,IN,47404,"$275,000","3 bds, 3.0 ba ,1870 sqft",Paradigm Realty Solutions,https://www.zillow.com/homedetails/4539-N-Shadow-Wood-Dr-Bloomington-IN-47404/85594548_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47404,,"3 bds, 2.0 ba ,1110 sqft",,https://www.zillow.com/homedetails/3110-W-Vernal-Pike-Bloomington-IN-47404/85576230_zpid/
Lot / Land for sale,,Bloomington,IN,47404,"$170,000","2 bds, None ba ,1120 sqft",Keller Williams Indy Metro S,https://www.zillow.com/homedetails/670-W-Burma-Rd-Bloomington-IN-47404/85574927_zpid/
