title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Bloomington,IN,47408,"$389,900","5 bds, 3.0 ba ,3390 sqft",The JuanSells.com Realty Co,https://www.zillow.com/homedetails/3670-E-Tamarron-Dr-Bloomington-IN-47408/85577574_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$450,000","None bds, None ba ,None sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/4750-N-37-Business-Bloomington-IN-47408/2080067202_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47408,,"3 bds, 2.0 ba ,1336 sqft",,https://www.zillow.com/homedetails/1203-E-Prairie-Dr-Bloomington-IN-47408/94515419_zpid/
House for sale,,Bloomington,IN,47408,"$182,500","2 bds, 1.0 ba ,728 sqft","Carpenter Realtors, Inc.",https://www.zillow.com/homedetails/130-N-Roosevelt-St-Bloomington-IN-47408/94517357_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$375,000","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/LOT-10-E-Mabels-Way-LOT-10-Bloomington-IN-47408/2080223980_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$29,900","None bds, None ba ,None sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/75-N-Viking-Ridge-Rd-Bloomington-IN-47408/2080223804_zpid/
For sale by owner,,Bloomington,IN,47408,"$279,900","3 bds, 2.0 ba ,2000 sqft",,https://www.zillow.com/homedetails/221-N-Sheffield-Dr-Bloomington-IN-47408/85578897_zpid/
For sale by owner,,Bloomington,IN,47408,"$239,900","3 bds, 2.0 ba ,1250 sqft",,https://www.zillow.com/homedetails/410-N-Hillsdale-Dr-Bloomington-IN-47408/85577829_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$649,000","None bds, None ba ,None sqft",Millican Realty,https://www.zillow.com/homedetails/8787-E-Baby-Creek-Rd-Bloomington-IN-47408/2080564071_zpid/
House for sale,,Bloomington,IN,47408,"$245,000","4 bds, 2.0 ba ,1744 sqft",Valu-net Realty,https://www.zillow.com/homedetails/2536-E-8th-St-Bloomington-IN-47408/85576561_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$375,000","None bds, None ba ,None sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/10-E-Mabels-Way-Bloomington-IN-47408/2080629701_zpid/
House for sale,,Bloomington,IN,47408,"$379,000","4 bds, 3.0 ba ,3486 sqft",Griffin Realty Holdings LLC,https://www.zillow.com/homedetails/204-E-Lakewood-Dr-W-Bloomington-IN-47408/94516565_zpid/
House for sale,,Bloomington,IN,47408,"$449,000","3 bds, 3.0 ba ,1784 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/325-E-Clover-Ln-Bloomington-IN-47408/94517233_zpid/
Apartment for sale,,Bloomington,IN,47408,"$150,000","2 bds, 1.0 ba ,1098 sqft",The Indiana Team LLC,https://www.zillow.com/homedetails/208-E-15th-St-Bloomington-IN-47408/85577707_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$799,999","None bds, None ba ,None sqft",Whitetail Properties,https://www.zillow.com/homedetails/1301-E-Chambers-Pike-LOT-WP001-Bloomington-IN-47408/2080788394_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$65,000","None bds, None ba ,None sqft",White & Co Real Estate,https://www.zillow.com/homedetails/000-E-Old-Meyers-Rd-Bloomington-IN-47408/2080819084_zpid/
House for sale,,Bloomington,IN,47408,"$269,000","4 bds, 3.0 ba ,2089 sqft",Millican Realty,https://www.zillow.com/homedetails/4510-E-Blackstone-Ct-Bloomington-IN-47408/94516856_zpid/
House for sale,,Bloomington,IN,47408,"$310,000","4 bds, 3.0 ba ,2348 sqft",Griffin Realty Holdings LLC,https://www.zillow.com/homedetails/3903-E-Tamarron-Ct-Bloomington-IN-47408/94517641_zpid/
House for sale,,Bloomington,IN,47408,"$464,000","3 bds, 3.0 ba ,2415 sqft",Millican Realty,https://www.zillow.com/homedetails/2055-2075-N-Russell-Rd-Bloomington-IN-47408/2080941809_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$85,000","None bds, None ba ,None sqft",Millican Realty,https://www.zillow.com/homedetails/2075-N-Russell-Rd-Bloomington-IN-47408/211056418_zpid/
House for sale,,Bloomington,IN,47408,"$379,000","3 bds, 3.0 ba ,2415 sqft",Millican Realty,https://www.zillow.com/homedetails/2055-N-Russell-Rd-Bloomington-IN-47408/94515060_zpid/
House for sale,,Bloomington,IN,47408,"$399,000","4 bds, 3.0 ba ,2064 sqft",Valu-net Realty,https://www.zillow.com/homedetails/2801-N-Blue-Slopes-Dr-Bloomington-IN-47408/85577433_zpid/
House for sale,,Bloomington,IN,47408,"$429,900","4 bds, 4.0 ba ,3400 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/5511-E-Kerr-Creek-Rd-Bloomington-IN-47408/85576144_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47408,,"2 bds, 1.5 ba ,1641 sqft",,https://www.zillow.com/homedetails/3104-N-Browncliff-Ln-Bloomington-IN-47408/85577415_zpid/
House for sale,,Bloomington,IN,47408,"$449,900","5 bds, 4.0 ba ,3608 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/4720-N-Old-State-Road-37-Bloomington-IN-47408/85576366_zpid/
House for sale,,Bloomington,IN,47408,"$444,900","3 bds, 5.0 ba ,3912 sqft",Griffin Realty Holdings LLC,https://www.zillow.com/homedetails/3108-N-Ramble-Rd-E-Bloomington-IN-47408/85578682_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$230,000","None bds, None ba ,None sqft",Revestco LLC,https://www.zillow.com/homedetails/3845-E-Devonshire-Ln-49-Bloomington-IN-47408/2082120701_zpid/
