title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Bloomington,IN,47408,"$250,000","4 bds, 2.0 ba ,1870 sqft",Evergreen Real Estate & Auctions,https://www.zillow.com/homedetails/603-N-Plymouth-Rd-Bloomington-IN-47408/85576822_zpid/
House for sale,,Bloomington,IN,47408,"$154,900","2 bds, 1.0 ba ,840 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/4210-N-Old-State-Road-37-Bloomington-IN-47408/85576455_zpid/
House for sale,,Bloomington,IN,47408,"$263,000","3 bds, 2.0 ba ,1776 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/4310-E-Kinser-Dr-Bloomington-IN-47408/85577061_zpid/
House for sale,,Bloomington,IN,47408,"$349,000","3 bds, 3.0 ba ,2520 sqft",Griffin Realty Holdings LLC,https://www.zillow.com/homedetails/3008-N-Ramble-Rd-W-Bloomington-IN-47408/85578362_zpid/
House for sale,,Bloomington,IN,47408,"$159,900","3 bds, 1.0 ba ,1163 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/4190-N-Old-State-Road-37-Bloomington-IN-47408/85575457_zpid/
House for sale,,Bloomington,IN,47408,"$239,900","4 bds, 1.0 ba ,1325 sqft",Berkshire Hathaway Home Services Indiana Realty,https://www.zillow.com/homedetails/3571-E-Boltinghouse-Rd-Bloomington-IN-47408/94515083_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47408,,"2 bds, 1.0 ba ,910 sqft",,https://www.zillow.com/homedetails/2470-N-Mount-Gilead-Rd-Bloomington-IN-47408/94524569_zpid/
House for sale,,Bloomington,IN,47408,"$229,900","3 bds, 2.0 ba ,1080 sqft",Sterling Real Estate,https://www.zillow.com/homedetails/2505-E-Bethel-Ln-Bloomington-IN-47408/85575378_zpid/
House for sale,,Bloomington,IN,47408,"$289,000","5 bds, 3.0 ba ,2448 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/4301-E-Cambridge-Dr-Bloomington-IN-47408/85577333_zpid/
For sale by owner,,Bloomington,IN,47408,"$295,500","2 bds, 2.0 ba ,1800 sqft",,https://www.zillow.com/homedetails/7348-N-Old-State-Road-37-Bloomington-IN-47408/211047356_zpid/
Lot / Land for sale,,Bloomington,IN,47408,"$29,900","None bds, None ba ,None sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/75-N-Viking-Ridge-Rd-75-Bloomington-IN-47408/2079860624_zpid/
House for sale,,Bloomington,IN,47408,"$550,000","4 bds, 4.0 ba ,5864 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/6325-N-Bent-Pine-Dr-Bloomington-IN-47408/85591261_zpid/
House for sale,,Bloomington,IN,47408,"$514,900","5 bds, 3.0 ba ,2660 sqft",Millican Realty,https://www.zillow.com/homedetails/416-E-Lakewood-Dr-W-Bloomington-IN-47408/85578108_zpid/
