title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Bloomington,IN,47403,"$128,900","2 bds, 1.0 ba ,784 sqft",Berkshire Hathaway HomeServices Indiana Realty,https://www.zillow.com/homedetails/200-W-Zikes-Rd-Bloomington-IN-47403/85593594_zpid/
House for sale,,Bloomington,IN,47403,"$289,000","4 bds, 2.0 ba ,2304 sqft",The JuanSells.com Realty Co,https://www.zillow.com/homedetails/3557-W-Cockrell-Rd-Bloomington-IN-47403/85590319_zpid/
New construction,,Bloomington,IN,47403,"$600,000","4 bds, 3.0 ba ,2750 sqft",Rick Deckard Homes Co,https://www.zillow.com/homedetails/6615-S-Rockport-Rd-Bloomington-IN-47403/94523000_zpid/
New construction,,Bloomington,IN,47403,"$575,000","4 bds, 3.0 ba ,2300 sqft",Rick Deckard Homes Co,https://www.zillow.com/homedetails/6611-S-Rockport-Rd-Bloomington-IN-47403/94522930_zpid/
Auction,,Bloomington,IN,47403,"$118,000","3 bds, 2.0 ba ,1360 sqft",OWNERS.com,https://www.zillow.com/homedetails/1505-S-Rogers-St-Bloomington-IN-47403/85586292_zpid/
House for sale,,Bloomington,IN,47403,"$210,000","4 bds, 2.0 ba ,2688 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/4009-W-Barge-Ln-Bloomington-IN-47403/94523360_zpid/
House for sale,,Bloomington,IN,47403,"$130,000","2 bds, 1.0 ba ,1536 sqft",The Indiana Team LLC,https://www.zillow.com/homedetails/8300-W-Hinds-Rd-Bloomington-IN-47403/85588496_zpid/
For sale by owner,,Bloomington,IN,47403,"$195,000","1 bds, 1.0 ba ,576 sqft",,https://www.zillow.com/homedetails/7445-S-Ketcham-Rd-Bloomington-IN-47403/94524790_zpid/
House for sale,,Bloomington,IN,47403,"$239,900","3 bds, 2.0 ba ,960 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/5481-W-Shadybrook-Dr-Bloomington-IN-47403/85589566_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47403,,"3 bds, 1.5 ba ,1413 sqft",,https://www.zillow.com/homedetails/1620-S-Weimer-Rd-Bloomington-IN-47403/85579130_zpid/
House for sale,,Bloomington,IN,47403,"$209,000","4 bds, 3.0 ba ,1248 sqft",Choice Realty & Management,https://www.zillow.com/homedetails/3302-W-Jeffrey-Rd-Bloomington-IN-47403/85589292_zpid/
Condo for sale,,Bloomington,IN,47403,"$199,900","7 bds, 6.0 ba ,3910 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/919-W-Graham-Dr-925-Bloomington-IN-47403/2079748084_zpid/
Apartment for sale,,Bloomington,IN,47403,"$199,900","7 bds, 6.0 ba ,3910 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/919-925-W-Graham-Dr-Bloomington-IN-47403/120231694_zpid/
House for sale,,Bloomington,IN,47403,"$179,900","2 bds, 1.0 ba ,823 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/607-W-Dodds-St-Bloomington-IN-47403/94520076_zpid/
Condo for sale,,Bloomington,IN,47403,"$224,900","2 bds, 3.0 ba ,1302 sqft",Sterling Real Estate,https://www.zillow.com/homedetails/2274-S-Samuel-Lane-Bloomington-IN-47403/2085917475_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47403,,"3 bds, 3.0 ba ,1680 sqft",,https://www.zillow.com/homedetails/3401-W-Festive-Dr-Bloomington-IN-47403/85588891_zpid/
House for sale,,Bloomington,IN,47403,"$329,000","4 bds, 3.0 ba ,2582 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/617-S-Bobcat-Bnd-Bloomington-IN-47403/211077076_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$93,500","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2133-Cole-Ct-UNIT-3-Bloomington-IN-47403/2079818403_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$93,600","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2114-Selc-Ct-UNIT-18-Bloomington-IN-47403/2079818402_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$93,600","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2302-S-Sunday-Dr-14-Bloomington-IN-47403/2079818401_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$93,600","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2284-S-Sunday-Dr-13-Bloomington-IN-47403/2079818400_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$91,000","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2005-Selc-Ct-UNIT-21-Bloomington-IN-47403/2079818399_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$88,400","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2232-S-Sunday-Dr-11-Bloomington-IN-47403/2079818704_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$91,000","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2116-Selc-Ct-UNIT-19-Bloomington-IN-47403/2079818697_zpid/
