title,address,city,state,postal_code,price,facts and features,real estate provider,url
Lot / Land for sale,,Bloomington,IN,47403,"$91,000","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2006-Selc-Ct-UNIT-17-Bloomington-IN-47403/2079818696_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$85,800","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2215-S-Sunday-Dr-9-Bloomington-IN-47403/2079819159_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$85,800","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/2104-Cole-Ct-UNIT-4-Bloomington-IN-47403/2079819382_zpid/
Lot / Land for sale,,Bloomington,IN,47403,"$17,000","None bds, None ba ,None sqft",Home Team Properties,https://www.zillow.com/homedetails/450-W-Rogers-Rd-Bloomington-IN-47403/94525006_zpid/
House for sale,,Bloomington,IN,47403,"$229,500","3 bds, 3.0 ba ,1776 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/517-S-Crimson-Ct-Bloomington-IN-47403/85589899_zpid/
House for sale,,Bloomington,IN,47403,"$159,900","2 bds, 1.0 ba ,1040 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/909-W-Ralston-Dr-Bloomington-IN-47403/94519981_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47403,,"None bds, 2.0 ba ,1378 sqft",,https://www.zillow.com/homedetails/9165-S-Ketcham-Rd-Bloomington-IN-47403/85593435_zpid/
House for sale,,Bloomington,IN,47403,"$264,900","4 bds, 3.0 ba ,2192 sqft",Millican Realty,https://www.zillow.com/homedetails/3649-S-Glasgow-Cir-Bloomington-IN-47403/102879675_zpid/
For sale by owner,,Bloomington,IN,47403,"$175,000","3 bds, 1.0 ba ,1000 sqft",,https://www.zillow.com/homedetails/715-S-Anna-Lee-Ln-Bloomington-IN-47403/85580147_zpid/
House for sale,,Bloomington,IN,47403,"$219,900","3 bds, 4.0 ba ,2088 sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/2741-S-Danlyn-Rd-Bloomington-IN-47403/102881208_zpid/
Pre-foreclosure / Auction,,Bloomington,IN,47403,,"3 bds, 2.5 ba ,1280 sqft",,https://www.zillow.com/homedetails/445-S-Kirby-Rd-Bloomington-IN-47403/85590078_zpid/
House for sale,,Bloomington,IN,47403,"$274,900","4 bds, 2.0 ba ,2678 sqft",Millican Realty,https://www.zillow.com/homedetails/331-W-Persimmon-Ct-Bloomington-IN-47403/85581169_zpid/
House for sale,,Bloomington,IN,47403,"$133,000","3 bds, 2.0 ba ,1104 sqft",Keller Williams Indy Metro S,https://www.zillow.com/homedetails/4606-S-College-Dr-Bloomington-IN-47403/102879805_zpid/
House for sale,,Bloomington,IN,47403,"$299,900","3 bds, 3.0 ba ,3410 sqft",Keystone Realty,https://www.zillow.com/homedetails/8989-W-Gardner-Rd-Bloomington-IN-47403/85588829_zpid/
For sale by owner,,Bloomington,IN,47403,"$265,000","2 bds, 2.0 ba ,1670 sqft",,https://www.zillow.com/homedetails/409-S-Madison-St-Bloomington-IN-47403/102874202_zpid/
House for sale,,Bloomington,IN,47403,"$359,900","4 bds, 3.0 ba ,3458 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/5436-W-Hoge-Dr-Bloomington-IN-47403/211077120_zpid/
